gene,mean_n_neighbors,mean_neighbor_popularity,specificity,any_neighbor
AGTRAP,176.12,6050.022675896197,0.6300811570836933,True
MTHFR,286.34,5756.317534267521,0.6480392825272074,True
CLCN6,208.34,5982.985296511249,0.6341800491280191,True
NPPA,178.18,5094.79281984263,0.6884871403336821,True
ENSG00000285646,279.88,5552.577346759221,0.6604966464836918,True
KIAA2013,195.78,6030.280341002831,0.6312882701924285,True
PLOD1,255.06,5363.260854200821,0.6720720969611238,True
MFN2,278.04,5379.428692235511,0.6710835406765203,True
MIIP,344.32,5418.469548327658,0.6686964507289723,True
TNFRSF8,234.04,5352.98594924842,0.6727003393917199,True
TNFRSF1B,235.16,5781.007343429152,0.6465296641131671,True
ENSG00000296888,132.38,5912.594705139744,0.6384839678911804,True
VPS13D,287.76,5673.52270032584,0.653101638622694,True
DHRS3,123.94,6033.422577452846,0.6310961432312536,True
PRDM2,245.26,5779.7309142323675,0.6466077093101579,True
KAZN,147.92,5352.624814318331,0.6727224204024255,True
TMEM51,162.6,5584.956453526882,0.6585168784147428,True
EFHD2-AS1,219.4,5659.331415330522,0.6539693417712918,True
EFHD2,245.48,6009.499553425329,0.6325588778095182,True
CTRC,275.7,5215.85793345577,0.6810848099385038,True
CASP9,411.38,5321.286463735509,0.6746385531191985,True
DNAJC16,272.28,5836.688095797178,0.6431251546440124,True
AGMAT,214.9,5583.517083249422,0.6586048863803471,True
DDI2,224.92,5837.148469032236,0.6430970058677936,True
PLEKHM2,375.16,5612.267697866483,0.6568469765902487,True
SLC25A34,226.04,5479.918034093101,0.6649392825378722,True
FBLIM1,240.08,5333.00241586931,0.6739222001914209,True
SPEN-AS1,277.88,5752.678671108333,0.6482617749245898,True
UQCRHL,360.04,5202.976377753276,0.6818724318096437,True
SPEN,236.12,5705.68889981137,0.6511348884248627,True
ZBTB17,353.56,5664.734538374614,0.6536389765591798,True
HSPB7,154.5,5132.366484160046,0.6861897594521524,True
ARHGEF19,246.2,5473.954530364999,0.66530391131978,True
ENSG00000291077,233.38,5317.674047386157,0.6748594284692047,True
ENSG00000288398,283.64,5549.46718823483,0.6606868120920312,True
CPLANE2,326.62,5497.309099075529,0.6638759340216736,True
ENSG00000293791,254.64,5622.428345237407,0.656225720254515,True
FBXO42,428.44,5524.895032459633,0.662189236780212,True
